"field","definition"
"iso3","ISO3 code; legacy 2011/2014 codes ZAR KSV ROM WBG recoded to COD XKX ROU PSE"
"round","Findex round: 2011, 2014, 2017, 2021, 2024"
"is_oic","1 if the economy is an OIC member state"
"in_balanced_oic_frame","1 if an OIC member with the religion item in all four outcome rounds (34 economies)"
"n_total","respondents in the economy-round (unweighted)"
"n_unbanked_fin","respondents with no financial-institution account (unweighted)"
"n_asked","respondents routed into the unbanked barriers battery (unweighted)"
"n_religion_dk_ref","asked the battery but answered don't know or refused on the religion item"
"relig_A_*","PRIMARY. Share citing religion among adults with no financial-institution account. p, n, design-based se, Kish deff"
"relig_B_*","ROBUSTNESS. Same, among the population actually asked the battery"
"relig_all_*","Share of ALL adults who are unbanked on the primary base AND cite religion. Never-asked treated as no; unknown answers excluded from the denominator"
"unbanked_fin_share","weighted share with no financial-institution account"
"unbanked_answered_share","weighted share of the primary base among respondents whose religion answer is known"
"decomposition_check","unbanked_answered_share x relig_A_p; equals relig_all_p exactly. This is the identity that separates the coverage component from the composition component"
"*_A_p","other barriers, on the primary base, for the share-of-all-reasons robustness"
"account_fin_p ... internet_use_p","context indicators, weighted, whole adult sample"
"relig_* in 2024","EMPTY BY CONSTRUCTION: the religious-reasons item was discontinued in the 2024 round"
"weights","within-economy sampling weight wgt; sum(wgt) equals n in each economy"
"standard errors","sqrt(deff * p(1-p)/n) with deff = n*sum(w^2)/(sum w)^2, the formula used in the Findex methodology notes"
"licence","Derived aggregates only. No individual records. Free to deposit and cite."
