"iso3","round","economy_label","regionwb_raw","is_oic","pop_adult","n_total","n_unbanked_fin","n_asked","n_religion_dk_ref","relig_A_p","relig_A_n","relig_A_se","relig_A_deff","relig_B_p","relig_B_n","relig_B_se","relig_B_deff","relig_all_p","relig_all_n","relig_all_se","unbanked_fin_share","unbanked_fin_se","unbanked_answered_share","far_A_p","expensive_A_p","documentation_A_p","trust_A_p","money_A_p","family_A_p","no_need_A_p","account_fin_p","account_mob_p","anydigpayment_p","mobileowner_p","internet_access_p","internet_use_p","female_p","in_balanced_oic_frame","decomposition_check"
"AFG",2011,"Afghanistan","South Asia",1,15112214,1000,859,859,98,0.369780639854604,761,0.0219842994803472,1.57824350194254,0.369780639854604,761,0.0219842994803472,1.57824350194254,0.331555802082698,902,0.020001852110015,0.909949879265936,0.0114396051880599,0.896628342178931,0.4693423310932,0.475300774910323,0.37016337811689,0.367071846372919,0.402307805254355,0.132179979733874,,0.0900501207340641,,,,,,0.500846271411983,1,0.331555802082698
"AFG",2014,"Afghanistan","South Asia",1,16307350,1000,890,890,51,0.243907996643067,839,0.0172775603545229,1.35808237903299,0.243907996643067,839,0.0172775603545229,1.35808237903299,0.218370177653859,949,0.0156848327141708,0.900389988114011,0.0110443269580559,0.8952973279241,0.369784373117906,0.398944184044671,0.334365384005594,0.325991806189063,0.739909761934977,0.214745432056873,0.381727172768897,0.0996100118859884,0.00304403806148431,,,,,0.486430722117795,1,0.218370177653859
"AFG",2017,"Afghanistan","South Asia",1,19456060,1000,847,847,20,0.167627715141087,827,0.0157304984105182,1.46665186648184,0.167627715141087,827,0.0157304984105182,1.46665186648184,0.142744503275949,980,0.013535264398819,0.854529160911065,0.01351091071887,0.851556696073833,0.360227414319871,0.265028364666763,0.248987143334956,0.241126211852385,0.842623667674388,0.16388413535386,0.324028311766982,0.145470839088935,0.00913816131730575,0.000562696496983085,0.60011932877048,,,0.497091366789133,1,0.142744503275949
"AFG",2021,"Afghanistan","South Asia",1,22647496,1002,884,936,32,0.169600845293692,852,0.0163023967403427,1.60778362083047,0.167547063168716,904,0.0157297196824814,1.60366587312311,0.152799141355446,970,0.0146466394397806,0.90346178155657,0.0118132512481596,0.900933843170704,0.413140664592819,0.322478587706903,0.392028203034954,0.423422283689906,0.944567696546788,0.151880495992181,0.474817117750596,0.0965382184434304,0,0.0788157599978411,0.679255015325189,0.161937662104614,,0.508655791732045,1,0.152799141355446
"AGO",2011,"Angola","Sub-Saharan Africa",0,10551734,1000,585,582,67,0.126067083847124,513,0.0181490982414336,1.53372559095262,0.127393037406468,515,0.0181848745625525,1.53201663833591,0.0721257526870999,921,0.0105398830353004,0.600495013906999,0.0191003751655696,0.572122004301803,0.203067432510146,0.345140312893966,0.416187392560142,0.246752434594975,0.543100291210874,0.16681555604616,,0.39498579457394,,,,,,0.502017900921947,0,0.0721257526870999
"AGO",2014,"Angola","Sub-Saharan Africa",0,11272417,1000,683,709,53,0.0445257058456277,630,0.00922502587421037,1.26021868658391,0.043741822650537,656,0.00894738973470815,1.25552253423003,0.0307178779283808,947,0.00629033676190522,0.706818786952635,0.0161606903982414,0.689890869667082,0.446804378958398,0.248952227017991,0.461406407062464,0.133388748689024,0.641425362132775,0.105882724739037,0.226590706354484,0.293181213047365,,,,,,0.493751497273404,0,0.0307178779283808
"ALB",2011,"Albania","Europe & Central Asia",1,2204736.5,1006,638,634,9,0.0745908947358787,625,0.0128765112269618,1.50126325214834,0.0745908947358787,625,0.0128765112269618,1.50126325214834,0.0532391077384951,991,0.00895872776882537,0.715147653850786,0.0178693876458066,0.713748077791682,0.11232553443912,0.13969201608693,0.143610289452248,0.122084622814336,0.490091488869218,0.167546889979589,,0.283296309304664,,,,,,0.490949829,1,0.0532391077384951
"ALB",2014,"Albania","Europe & Central Asia",1,2201445.75,999,617,659,7,0.0554717524171243,610,0.0104049178218442,1.260434573661,0.0559987732796878,652,0.0101158626891782,1.26212501684614,0.0342938504428635,992,0.00648143941665515,0.620136476514106,0.0172294331342509,0.618221868762828,0.193610832184961,0.492620500615145,0.141246413029307,0.166266792885333,0.807259120363557,0.174791390865387,0.266145527939018,0.379863523485894,,,,,,0.50791112453242,1,0.0342938504428635
"ALB",2017,"Albania","Europe & Central Asia (excluding high income)",1,2366387,1000,586,640,11,0.0538826182844797,575,0.0107952188931894,1.31442871538538,0.0641853112427015,629,0.0112060845590862,1.31502172213446,0.0324624002644628,989,0.00641861618415596,0.606824954430157,0.0176030223277982,0.602465160343058,0.260423328009144,0.410786073272075,0.198167347343218,0.163002058996067,0.784663720920662,0.224822536219422,0.30215568520539,0.393175045569843,0.0237776202304095,0.0239134985004857,0.860100830602808,,,0.514734084384054,1,0.0324624002644628
"ALB",2021,"Albania","Europe & Central Asia (excluding high income)",1,2348633.75,1000,571,625,3,0.0097477231449681,568,0.0054098945455202,1.72217348838101,0.00977125405414106,622,0.00518553730793522,1.7285903187759,0.00542658048038725,997,0.00299086568973724,0.558258257125835,0.0201771654989685,0.556702360098165,0.167390575763844,0.312305209754056,0.0947799531635712,0.157599691164,0.746165401683414,0.210437304185941,0.520846971773989,0.441741742874165,,0.345528841437981,0.906096219150938,0.781314985103843,,0.51242741300099,1,0.00542658048038725
"ALB",2024,"Albania","Europe & Central Asia (excluding high income)",1,2278004,1000,588,588,588,,0,,,,0,,,0,412,0,0.53930749372958,0.0179742299440962,0,0.154880389925423,0.422283352922088,0.0612310365765189,0.211365157428132,0.80648258124838,0.334408698196943,,0.46069250627042,,0.353089968468564,,,0.828401698549119,0.522751484504707,1,
"ARE",2011,"United Arab Emirates","High Income",1,7676518.5,1024,380,376,26,0.0314042727839783,350,0.0108434294239823,1.35291361920393,0.0314042727839783,350,0.0108434294239823,1.35291361920393,0.0120863949601499,994,0.0041024105850818,0.402676297232515,0.0181066300797832,0.384864666132823,0.0207388831536074,0.123355067400568,0.144281099157968,0.0397282894649204,0.478760494722547,0.514540841590754,,0.597323702767485,,,,,,0.419322450409302,1,0.0120863949601499
"ARE",2014,"United Arab Emirates",,1,7916773,1002,168,200,11,0.0876787223139412,158,0.0271505910403851,1.45604114317719,0.146622159754991,189,0.0308443265850548,1.43704846853247,0.0137621080592154,991,0.00433419438068732,0.167956838180082,0.0138337361845512,0.156960636469347,0.0931615645383639,0.230818751703666,0.193801619178736,0.0760875913220894,0.59611817580571,0.694542338638769,0.487880194590731,0.832043161819918,0.11490987399191,,,,,0.279743242866701,1,0.0137621080592154
"ARE",2017,"United Arab Emirates","High income: nonOECD",1,7982274,1003,107,134,0,0.0802627943106519,107,0.028618426296419,1.18712716840781,0.0636085389940828,134,0.0228388566878473,1.17349340136919,0.0101204525159851,1003,0.00348137454961048,0.126091454987407,0.0115461030627645,0.126091454987407,0.159729757645462,0.312663033864745,0.262953356695378,0.0845179787462105,0.471884188832492,0.552635469947156,0.4142884910851,0.873908545012593,0.213317965807921,,1,,,0.274478455458299,1,0.0101204525159851
"ARE",2021,"United Arab Emirates","High income",1,8425228,1000,155,181,11,0.169647062771581,145,0.0370455353751277,1.41263734171816,0.144024243142713,170,0.0314278078782537,1.36200917839264,0.0245435911036781,989,0.00584254981621535,0.154392740053519,0.0135501810650209,0.144674424081981,0.223817588213722,0.346340144587937,0.234862249327326,0.270553019121945,0.286910241476675,0.465771166662272,0.357713098646348,0.845607259946481,0.132578891939491,0.766119280152843,1,0.756153883278964,,0.269823280164261,1,0.0245435911036781
"ARG",2011,"Argentina","Latin America & Caribbean",0,30694550,1000,601,567,11,0.00524198625498129,556,0.00363529103513237,1.40909358627996,0.00524198625498129,556,0.00363529103513237,1.40909358627996,0.00342458064047216,954,0.00228791982216016,0.66839751728137,0.0179798366604277,0.65329828692662,0.04767590303934,0.376482928444849,0.204726715426972,0.275031265609158,0.632839215433063,0.128818391763851,,0.331401694047097,,,,,,0.530782272394391,0,0.00342458064047216
