iso3,economy,regulator,round_year,as_of_date,variable,value,status,confidence,source,note,coded_on
AFG,Afghanistan,National central bank,2011,2010-12-31,ib_legal_framework,0,verified,medium,"Da Afghanistan Bank, Islamic banking regulatory framework issued 2015, incl. 'Licensing of Islamic Financial Institutions', DAB, Dec 2015, sections 8.2.2 and 'Effective Date of the Regulation' | dab.gov.af/sites/default/files/2018-12/1LicensingforIslamicFIsv3finalversion20122015141812767553325325_2.pdf ; dab.gov.af/Islamic-Banking-Regulations ; Reuters, 'Afghanistan approves first full-fledged Islamic bank', 23.04.2018","CONFIRMED. DAB issued its dedicated Islamic banking regulatory framework in 2015 (AAOIFI-based); in force before 2016-12-31. Before 2015 Islamic banking rested on articles inside the general Banking Law of Afghanistan and case-by-case DAB approval of windows, which is the Guinea/Albania threshold under D-35, hence 0 for 2011 and 2014. Exact day of issuance in 2015 not established; immaterial because the nearest reference date is 2016-12-31.",2026-08-16
AFG,Afghanistan,National central bank,2014,2013-12-31,ib_legal_framework,0,verified,medium,"Da Afghanistan Bank, Islamic banking regulatory framework issued 2015, incl. 'Licensing of Islamic Financial Institutions', DAB, Dec 2015, sections 8.2.2 and 'Effective Date of the Regulation' | dab.gov.af/sites/default/files/2018-12/1LicensingforIslamicFIsv3finalversion20122015141812767553325325_2.pdf ; dab.gov.af/Islamic-Banking-Regulations ; Reuters, 'Afghanistan approves first full-fledged Islamic bank', 23.04.2018","CONFIRMED. DAB issued its dedicated Islamic banking regulatory framework in 2015 (AAOIFI-based); in force before 2016-12-31. Before 2015 Islamic banking rested on articles inside the general Banking Law of Afghanistan and case-by-case DAB approval of windows, which is the Guinea/Albania threshold under D-35, hence 0 for 2011 and 2014. Exact day of issuance in 2015 not established; immaterial because the nearest reference date is 2016-12-31.",2026-08-16
AFG,Afghanistan,National central bank,2017,2016-12-31,ib_legal_framework,1,verified,high,"Da Afghanistan Bank, Islamic banking regulatory framework issued 2015, incl. 'Licensing of Islamic Financial Institutions', DAB, Dec 2015, sections 8.2.2 and 'Effective Date of the Regulation' | dab.gov.af/sites/default/files/2018-12/1LicensingforIslamicFIsv3finalversion20122015141812767553325325_2.pdf ; dab.gov.af/Islamic-Banking-Regulations ; Reuters, 'Afghanistan approves first full-fledged Islamic bank', 23.04.2018","CONFIRMED. DAB issued its dedicated Islamic banking regulatory framework in 2015 (AAOIFI-based); in force before 2016-12-31. Before 2015 Islamic banking rested on articles inside the general Banking Law of Afghanistan and case-by-case DAB approval of windows, which is the Guinea/Albania threshold under D-35, hence 0 for 2011 and 2014. Exact day of issuance in 2015 not established; immaterial because the nearest reference date is 2016-12-31.",2026-08-16
AFG,Afghanistan,National central bank,2021,2020-12-31,ib_legal_framework,1,verified,high,"Da Afghanistan Bank, Islamic banking regulatory framework issued 2015, incl. 'Licensing of Islamic Financial Institutions', DAB, Dec 2015, sections 8.2.2 and 'Effective Date of the Regulation' | dab.gov.af/sites/default/files/2018-12/1LicensingforIslamicFIsv3finalversion20122015141812767553325325_2.pdf ; dab.gov.af/Islamic-Banking-Regulations ; Reuters, 'Afghanistan approves first full-fledged Islamic bank', 23.04.2018","CONFIRMED. DAB issued its dedicated Islamic banking regulatory framework in 2015 (AAOIFI-based); in force before 2016-12-31. Before 2015 Islamic banking rested on articles inside the general Banking Law of Afghanistan and case-by-case DAB approval of windows, which is the Guinea/Albania threshold under D-35, hence 0 for 2011 and 2014. Exact day of issuance in 2015 not established; immaterial because the nearest reference date is 2016-12-31.",2026-08-16
AFG,Afghanistan,National central bank,2011,2010-12-31,ib_regime,1,verified,medium,"DAB-approved Islamic banking windows operating at the reference date: Bank Millie Afghan (2004), Bank Alfalah (2005), Afghan United Bank (2007), Maiwand Bank (2008), Ghazanfar Bank (2009) | allstudyjournal.com/article/515/3-1-50-757.pdf ; mdpi.com/2227-7099/11/7/189 (Faithful Finance: Unlocking Banking Islamization in Afghanistan, Economics 11(7):189) ; unescwa.org/sites/default/files/archive/u593/afghanistanlkhdm_lmsrfy__0.pdf","Windows only. The first standalone licensed Islamic bank, Islamic Bank of Afghanistan, was licensed by DAB on 09.04.2018, well after this reference date. Confidence medium: the window count comes from peer-reviewed studies rather than a dated DAB licence register page.",2026-08-16
AFG,Afghanistan,National central bank,2014,2013-12-31,ib_regime,1,verified,medium,"DAB-approved Islamic banking windows operating at the reference date: Bank Millie Afghan, Bank Alfalah, Afghan United Bank, Maiwand Bank, Ghazanfar Bank, New Kabul Bank (2011); AIB added a window in 2014 | allstudyjournal.com/article/515/3-1-50-757.pdf ; mdpi.com/2227-7099/11/7/189 ; aarcentre.com/ojs3/index.php/jaash/article/download/264/547/1468",Windows only. The first standalone licensed Islamic bank (Islamic Bank of Afghanistan) was licensed 09.04.2018. Confidence medium for the same reason as 2011.,2026-08-16
AFG,Afghanistan,National central bank,2017,2016-12-31,ib_regime,1,verified,medium,"CORRECTED 2026-08-16, superseding the IFSB-share inference. IFSB, IFSI Stability Report 2018, Chart 1.1.2, p.28: Islamic banking share of total domestic banking assets = 5.4% (1H2017). A measurable share of domestic banking assets cannot exist without licensed Islamic banks.","Islamic Bank of Afghanistan, the first standalone Islamic bank, was licensed 2018-04-09, after the 2016-12-31 reference date. Da Afghanistan Bank permitted Islamic windows from 2015. Register rule (D-34) gives 1, not 2. The superseded inference — a measurable share of domestic banking assets implies licensed Islamic banks — is sound for 2 versus 0 but cannot separate a standalone bank from a window, and must not be used in window-based markets.",2026-08-16
AFG,Afghanistan,National central bank,2021,2020-12-31,ib_regime,2,verified,high,"IFSB, IFSI Stability Report 2022, Chart 1.2.1, p.25: Islamic banking share of total domestic banking assets = 13.2% (2021). A measurable share of domestic banking assets cannot exist without licensed Islamic banks.",,2026-08-16
ALB,Albania,Bank of Albania,2011,2010-12-31,ib_legal_framework,0.0,verified,high,"No dedicated statute; UBA licensed under Law No.9662 of 18.12.2006 ""On Banks in the Republic of Albania"", Licence No.03/1 | uba.com.al/about-uba/ ; islamicfinancenews.com",Same criterion as Guinea,2026-08-16
ALB,Albania,Bank of Albania,2014,2013-12-31,ib_legal_framework,0.0,verified,high,"No dedicated statute; UBA licensed under Law No.9662 of 18.12.2006 ""On Banks in the Republic of Albania"", Licence No.03/1 | uba.com.al/about-uba/ ; islamicfinancenews.com",Same criterion as Guinea,2026-08-16
