iso3,jurisdiction_as_printed,period,rank_in_chart,ib_share_pct,upper_bound_pct,value_source,measurement_uncertainty_pp,needs_verification,edition,chart,page,source_url,bar_crosses_15pct,transcribed_on,ib_share_pct_corrected,correction_applied_pp
IRN,Iran,2012E,1,100.0,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2013,Chart 1.1.1,22,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2013_En.pdf,1,2026-08-16,100.0,0.0
SDN,Sudan,2012E,2,100.0,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2013,Chart 1.1.1,22,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2013_En.pdf,1,2026-08-16,100.0,0.0
KWT,Kuwait,2012E,3,61.5,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2013,Chart 1.1.1,22,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2013_En.pdf,1,2026-08-16,61.5,0.0
SAU,Saudi Arabia,2012E,4,35.8,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2013,Chart 1.1.1,22,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2013_En.pdf,1,2026-08-16,35.8,0.0
QAT,Qatar,2012E,5,23.1,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2013,Chart 1.1.1,22,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2013_En.pdf,1,2026-08-16,23.1,0.0
ARE,UAE,2012E,6,21.5,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2013,Chart 1.1.1,22,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2013_En.pdf,1,2026-08-16,21.5,0.0
MYS,Malaysia,2012E,7,18.8,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2013,Chart 1.1.1,22,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2013_En.pdf,1,2026-08-16,18.8,0.0
SYR,Syria,2012E,8,13.5,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2013,Chart 1.1.1,22,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2013_En.pdf,0,2026-08-16,13.5,0.0
BHR,Bahrain,2012E,9,12.5,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2013,Chart 1.1.1,22,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2013_En.pdf,0,2026-08-16,12.5,0.0
YEM,Yemen,2012E,10,11.3,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2013,Chart 1.1.1,22,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2013_En.pdf,0,2026-08-16,11.3,0.0
PSE,Palestine,2012E,11,8.9,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2013,Chart 1.1.1,22,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2013_En.pdf,0,2026-08-16,8.9,0.0
JOR,Jordan,2012E,12,8.7,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2013,Chart 1.1.1,22,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2013_En.pdf,0,2026-08-16,8.7,0.0
EGY,Egypt,2012E,13,6.5,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2013,Chart 1.1.1,22,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2013_En.pdf,0,2026-08-16,6.5,0.0
MUS,Mauritius,2012E,14,5.5,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2013,Chart 1.1.1,22,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2013_En.pdf,0,2026-08-16,5.5,0.0
TUR,Turkey,2012E,15,5.2,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2013,Chart 1.1.1,22,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2013_En.pdf,0,2026-08-16,5.2,0.0
PAK,Pakistan,2012E,16,4.9,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2013,Chart 1.1.1,22,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2013_En.pdf,0,2026-08-16,4.9,0.0
IDN,Indonesia,2012E,17,3.8,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2013,Chart 1.1.1,22,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2013_En.pdf,0,2026-08-16,3.8,0.0
DZA,Algeria,2012E,18,1.8,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2013,Chart 1.1.1,22,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2013_En.pdf,0,2026-08-16,1.8,0.0
CHE,Switzerland,2012E,19,1.4,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2013,Chart 1.1.1,22,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2013_En.pdf,0,2026-08-16,1.4,0.0
PHL,Philippines,2012E,20,0.6,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2013,Chart 1.1.1,22,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2013_En.pdf,0,2026-08-16,0.6,0.0
THA,Thailand,2012E,21,0.4,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2013,Chart 1.1.1,22,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2013_En.pdf,0,2026-08-16,0.4,0.0
LBN,Lebanon,2012E,22,,0.2,below_measurement_floor,,1,IFSI Stability Report 2013,Chart 1.1.1,22,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2013_En.pdf,0,2026-08-16,,
ZAF,South Africa,2012E,23,,0.2,below_measurement_floor,,1,IFSI Stability Report 2013,Chart 1.1.1,22,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2013_En.pdf,0,2026-08-16,,
GBR,UK,2012E,24,,0.2,below_measurement_floor,,1,IFSI Stability Report 2013,Chart 1.1.1,22,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2013_En.pdf,0,2026-08-16,,
AUS,Australia,2012E,25,,0.2,below_measurement_floor,,1,IFSI Stability Report 2013,Chart 1.1.1,22,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2013_En.pdf,0,2026-08-16,,
SGP,Singapore,2012E,26,,0.2,below_measurement_floor,,1,IFSI Stability Report 2013,Chart 1.1.1,22,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2013_En.pdf,0,2026-08-16,,
IRN,Iran,1H2014,1,100.0,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2015,Chart 1.1.1.3,24,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2015_En.pdf,1,2026-08-16,100.0,0.0
SDN,Sudan,1H2014,2,100.0,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2015,Chart 1.1.1.3,24,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2015_En.pdf,1,2026-08-16,100.0,0.0
SAU,Saudi Arabia,1H2014,3,51.3,,body_text,0.0,0,IFSI Stability Report 2015,Chart 1.1.1.3,24,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2015_En.pdf,1,2026-08-16,51.3,0.0
BRN,Brunei,1H2014,4,41.0,,body_text,0.0,0,IFSI Stability Report 2015,Chart 1.1.1.3,24,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2015_En.pdf,1,2026-08-16,41.0,0.0
KWT,Kuwait,1H2014,5,38.0,,body_text,0.0,0,IFSI Stability Report 2015,Chart 1.1.1.3,24,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2015_En.pdf,1,2026-08-16,38.0,0.0
YEM,Yemen,1H2014,6,27.4,,body_text,0.0,0,IFSI Stability Report 2015,Chart 1.1.1.3,24,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2015_En.pdf,1,2026-08-16,27.4,0.0
QAT,Qatar,1H2014,7,25.1,,body_text,0.0,0,IFSI Stability Report 2015,Chart 1.1.1.3,24,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2015_En.pdf,1,2026-08-16,25.1,0.0
MYS,Malaysia,1H2014,8,21.9,,body_text,0.0,0,IFSI Stability Report 2015,Chart 1.1.1.3,24,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2015_En.pdf,1,2026-08-16,21.9,0.0
ARE,UAE,1H2014,9,17.4,,body_text,0.0,0,IFSI Stability Report 2015,Chart 1.1.1.3,24,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2015_En.pdf,1,2026-08-16,17.4,0.0
BGD,Bangladesh,1H2014,10,17.0,,body_text,0.0,0,IFSI Stability Report 2015,Chart 1.1.1.3,24,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2015_En.pdf,1,2026-08-16,17.0,0.0
BHR,Bahrain,1H2014,11,12.7,,body_text,0.0,0,IFSI Stability Report 2015,Chart 1.1.1.3,24,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2015_En.pdf,0,2026-08-16,12.7,0.0
JOR,Jordan,1H2014,12,11.7,,body_text,0.0,0,IFSI Stability Report 2015,Chart 1.1.1.3,24,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2015_En.pdf,0,2026-08-16,11.7,0.0
PAK,Pakistan,1H2014,13,9.8,,body_text,0.0,0,IFSI Stability Report 2015,Chart 1.1.1.3,24,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2015_En.pdf,0,2026-08-16,9.8,0.0
EGY,Egypt,1H2014,14,6.6,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2015,Chart 1.1.1.3,24,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2015_En.pdf,0,2026-08-16,6.73,0.13
TUR,Turkey,1H2014,15,5.7,,body_text,0.0,0,IFSI Stability Report 2015,Chart 1.1.1.3,24,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2015_En.pdf,0,2026-08-16,5.7,0.0
IDN,Indonesia,1H2014,16,4.5,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2015,Chart 1.1.1.3,24,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2015_En.pdf,0,2026-08-16,4.63,0.13
OMN,Oman,1H2014,17,4.2,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2015,Chart 1.1.1.3,24,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2015_En.pdf,0,2026-08-16,4.33,0.13
TUN,Tunisia,1H2014,18,1.8,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2015,Chart 1.1.1.3,24,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2015_En.pdf,0,2026-08-16,1.93,0.13
KEN,Kenya,1H2014,19,1.8,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2015,Chart 1.1.1.3,24,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2015_En.pdf,0,2026-08-16,1.93,0.13
DZA,Algeria,1H2014,20,1.5,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2015,Chart 1.1.1.3,24,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2015_En.pdf,0,2026-08-16,1.63,0.13
AZE,Azerbaijan,1H2014,21,1.0,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2015,Chart 1.1.1.3,24,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2015_En.pdf,0,2026-08-16,1.13,0.13
ZAF,South Africa,1H2014,22,0.8,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2015,Chart 1.1.1.3,24,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2015_En.pdf,0,2026-08-16,0.93,0.13
THA,Thailand,1H2014,23,0.6,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2015,Chart 1.1.1.3,24,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2015_En.pdf,0,2026-08-16,0.73,0.13
LBN,Lebanon,1H2014,24,0.3,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2015,Chart 1.1.1.3,24,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2015_En.pdf,0,2026-08-16,0.43,0.13
GBR,UK,1H2014,25,,0.25,below_measurement_floor,,1,IFSI Stability Report 2015,Chart 1.1.1.3,24,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2015_En.pdf,0,2026-08-16,,
NGA,Nigeria,1H2014,26,,0.25,below_measurement_floor,,1,IFSI Stability Report 2015,Chart 1.1.1.3,24,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2015_En.pdf,0,2026-08-16,,
SGP,Singapore,1H2014,27,,0.25,below_measurement_floor,,1,IFSI Stability Report 2015,Chart 1.1.1.3,24,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2015_En.pdf,0,2026-08-16,,
MUS,Mauritius,1H2014,28,,0.25,below_measurement_floor,,1,IFSI Stability Report 2015,Chart 1.1.1.3,24,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2015_En.pdf,0,2026-08-16,,
IRN,Iran,1H2017,1,100.0,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2018,Chart 1.1.2,28,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2018_En.pdf,1,2026-08-16,100.0,0.0
SDN,Sudan,1H2017,2,100.0,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2018,Chart 1.1.2,28,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2018_En.pdf,1,2026-08-16,100.0,0.0
BRN,Brunei,1H2017,3,61.8,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2018,Chart 1.1.2,28,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2018_En.pdf,1,2026-08-16,61.8,0.0
SAU,Saudi Arabia,1H2017,4,51.5,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2018,Chart 1.1.2,28,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2018_En.pdf,1,2026-08-16,51.5,0.0
KWT,Kuwait,1H2017,5,39.4,,measured_from_bar_geometry,0.2,1,IFSI Stability Report 2018,Chart 1.1.2,28,https://ifsb.org/wp-content/uploads/2023/10/Islamic-Financial-Services-Industry-Stability-Report-2018_En.pdf,1,2026-08-16,39.4,0.0
