"iso3","n_asked_2011","n_asked_2014","n_asked_2017","n_asked_2021","rounds_available","in_balanced_frame","min_n_asked"
"AFG",859,890,847,936,4,TRUE,847
"ALB",634,659,640,625,4,TRUE,625
"ARE",376,200,134,181,4,TRUE,134
"AZE",794,647,658,541,4,TRUE,541
"BEN",852,803,663,748,4,TRUE,663
"BFA",790,803,729,750,4,TRUE,729
"BGD",566,660,636,740,4,TRUE,566
"CMR",805,864,727,761,4,TRUE,727
"DZA",617,481,538,371,4,TRUE,371
"EGY",919,813,664,679,4,TRUE,664
"GAB",737,638,637,658,4,TRUE,637
"GIN",943,946,864,877,4,TRUE,864
"IDN",763,612,538,539,4,TRUE,538
"IRQ",851,890,901,882,4,TRUE,851
"JOR",638,694,642,535,4,TRUE,535
"KAZ",554,523,448,218,4,TRUE,218
"KGZ",951,858,741,608,4,TRUE,608
"LBN",606,477,490,824,4,TRUE,477
"MLI",875,882,831,748,4,TRUE,748
"MRT",759,760,751,794,4,TRUE,751
"MYS",286,213,178,87,4,TRUE,87
"NER",968,966,893,916,4,TRUE,893
"NGA",610,473,458,391,4,TRUE,391
"PAK",901,900,1384,857,4,TRUE,857
"PSE",725,711,703,654,4,TRUE,654
"SAU",516,318,290,218,4,TRUE,218
"SEN",903,826,799,725,4,TRUE,725
"SLE",753,897,878,866,4,TRUE,753
"TCD",834,917,885,819,4,TRUE,819
"TGO",862,800,657,690,4,TRUE,657
"TJK",965,904,737,720,4,TRUE,720
"TUR",363,450,279,263,4,TRUE,263
"UGA",695,680,683,655,4,TRUE,655
"UZB",748,717,717,575,4,TRUE,575
"BHR",317,164,138,,3,FALSE,138
"CIV",,809,825,775,3,FALSE,775
"KWT",110,249,168,,3,FALSE,110
"MAR",567,,3591,519,3,FALSE,519
"TKM",993,979,568,,3,FALSE,568
"TUN",,778,626,612,3,FALSE,612
"YEM",937,916,,847,3,FALSE,847
"COM",782,,,660,2,FALSE,660
"IRN",,,146,102,2,FALSE,102
"MOZ",,,635,559,2,FALSE,559
"SDN",869,781,,,2,FALSE,781
"DJI",851,,,,1,FALSE,851
"GMB",,,,686,1,FALSE,686
"LBY",,,295,,1,FALSE,295
"OMN",267,,,,1,FALSE,267
"QAT",275,,,,1,FALSE,275
"SOM",,933,,,1,FALSE,933
"SYR",766,,,,1,FALSE,766
"BRN",,,,,0,FALSE,
"GNB",,,,,0,FALSE,
"GUY",,,,,0,FALSE,
"MDV",,,,,0,FALSE,
"SUR",,,,,0,FALSE,
