target_variable,concept,round,source_variable,source_values,recode_r,status,source_document,note
iso3,economy identifier,2011,ecnmycode,ISO3 character,"{ m <- c(ZAR=""COD"", KSV=""XKX"", ROM=""ROU"", WBG=""PSE""); x <- as.character(x); ifelse(x %in% names(m), unname(m[x]), x) }",available,diagnostics 08_economy_coverage.csv,2011 spelling differs; 4 legacy codes recoded in 2011 and 2014
economy_label,"economy name (label only, never a key)",2011,economy,character,as.character(x),available,raw file,encoding-damaged for CIV and TUR in 2014/2021; labels drift across rounds
regionwb_raw,World Bank region as published,2011,regionwb,character,as.character(x),not_comparable,raw file,"category labels change every round; harmonise separately, do not stack"
wgt,within-economy sampling weight,2011,wgt,numeric,as.numeric(x),available,diagnostics 07_weights_audit.csv,sum(wgt) == n within each economy in every round; carries no cross-economy information
pop_adult,adult population of the economy,2011,pop_adult,numeric,as.numeric(x),available,raw file,constant within economy; used to build wgt_pooled
iso3,economy identifier,2014,economycode,ISO3 character,"{ m <- c(ZAR=""COD"", KSV=""XKX"", ROM=""ROU"", WBG=""PSE""); x <- as.character(x); ifelse(x %in% names(m), unname(m[x]), x) }",available,diagnostics 08_economy_coverage.csv,2011 spelling differs; 4 legacy codes recoded in 2011 and 2014
economy_label,"economy name (label only, never a key)",2014,economy,character,as.character(x),available,raw file,encoding-damaged for CIV and TUR in 2014/2021; labels drift across rounds
regionwb_raw,World Bank region as published,2014,regionwb,character,as.character(x),not_comparable,raw file,"category labels change every round; harmonise separately, do not stack"
wgt,within-economy sampling weight,2014,wgt,numeric,as.numeric(x),available,diagnostics 07_weights_audit.csv,sum(wgt) == n within each economy in every round; carries no cross-economy information
pop_adult,adult population of the economy,2014,pop_adult,numeric,as.numeric(x),available,raw file,constant within economy; used to build wgt_pooled
iso3,economy identifier,2017,economycode,ISO3 character,as.character(x),available,diagnostics 08_economy_coverage.csv,
economy_label,"economy name (label only, never a key)",2017,economy,character,as.character(x),available,raw file,encoding-damaged for CIV and TUR in 2014/2021; labels drift across rounds
regionwb_raw,World Bank region as published,2017,regionwb,character,as.character(x),not_comparable,raw file,"category labels change every round; harmonise separately, do not stack"
wgt,within-economy sampling weight,2017,wgt,numeric,as.numeric(x),available,diagnostics 07_weights_audit.csv,sum(wgt) == n within each economy in every round; carries no cross-economy information
pop_adult,adult population of the economy,2017,pop_adult,numeric,as.numeric(x),available,raw file,constant within economy; used to build wgt_pooled
iso3,economy identifier,2021,economycode,ISO3 character,as.character(x),available,diagnostics 08_economy_coverage.csv,
economy_label,"economy name (label only, never a key)",2021,economy,character,as.character(x),available,raw file,encoding-damaged for CIV and TUR in 2014/2021; labels drift across rounds
regionwb_raw,World Bank region as published,2021,regionwb,character,as.character(x),not_comparable,raw file,"category labels change every round; harmonise separately, do not stack"
wgt,within-economy sampling weight,2021,wgt,numeric,as.numeric(x),available,diagnostics 07_weights_audit.csv,sum(wgt) == n within each economy in every round; carries no cross-economy information
pop_adult,adult population of the economy,2021,pop_adult,numeric,as.numeric(x),available,raw file,constant within economy; used to build wgt_pooled
iso3,economy identifier,2024,economycode,ISO3 character,as.character(x),available,diagnostics 08_economy_coverage.csv,
economy_label,"economy name (label only, never a key)",2024,economy,character,as.character(x),available,raw file,encoding-damaged for CIV and TUR in 2014/2021; labels drift across rounds
regionwb_raw,World Bank region as published,2024,regionwb,character,as.character(x),not_comparable,raw file,"category labels change every round; harmonise separately, do not stack"
wgt,within-economy sampling weight,2024,wgt,numeric,as.numeric(x),available,diagnostics 07_weights_audit.csv,sum(wgt) == n within each economy in every round; carries no cross-economy information
pop_adult,adult population of the economy,2024,pop_adult,numeric,as.numeric(x),available,raw file,constant within economy; used to build wgt_pooled
barrier_religion,unbanked cites religious reasons,2011,q10f,1=yes 2=no 3=DK 4=Refused,"ifelse(x==1, 1L, ifelse(x==2, 0L, NA_integer_))",available,Questionnaire2011.pdf,
barrier_religion,unbanked cites religious reasons,2014,q8e,1=yes 2=no 3=DK 4=Refused,"ifelse(x==1, 1L, ifelse(x==2, 0L, NA_integer_))",available,Questionnaire2014.pdf,2014 contains one out-of-range value 22 -> NA
barrier_religion,unbanked cites religious reasons,2017,fin11e,1=yes 2=no 3=DK 4=Refused,"ifelse(x==1, 1L, ifelse(x==2, 0L, NA_integer_))",available,Questionnaire2017.pdf,
barrier_religion,unbanked cites religious reasons,2021,fin11e,1=yes 2=no 3=DK 4=Refused,"ifelse(x==1, 1L, ifelse(x==2, 0L, NA_integer_))",available,Questionnaire2021.pdf,
barrier_religion,unbanked cites religious reasons,2024,,,,not_asked,Questionnaire2024.pdf + Glossary2024.pdf,ITEM DISCONTINUED in 2024. NB 2024 fin11e = 'family member already has an account'
barrier_far,financial institutions too far away,2011,q10a,1=yes 2=no 3=DK 4=Refused,"ifelse(x==1, 1L, ifelse(x==2, 0L, NA_integer_))",available,Questionnaire2011.pdf,
barrier_far,financial institutions too far away,2014,q8a,1=yes 2=no 3=DK 4=Refused,"ifelse(x==1, 1L, ifelse(x==2, 0L, NA_integer_))",available,Questionnaire2014.pdf,
barrier_far,financial institutions too far away,2017,fin11a,1=yes 2=no 3=DK 4=Refused,"ifelse(x==1, 1L, ifelse(x==2, 0L, NA_integer_))",available,Questionnaire2017.pdf,
barrier_far,financial institutions too far away,2021,fin11a,1=yes 2=no 3=DK 4=Refused,"ifelse(x==1, 1L, ifelse(x==2, 0L, NA_integer_))",available,Questionnaire2021.pdf,
barrier_far,financial institutions too far away,2024,fin11a,1=yes 2=no 3=DK 4=Refused,"ifelse(x==1, 1L, ifelse(x==2, 0L, NA_integer_))",available,Questionnaire2024.pdf,
barrier_expensive,services too expensive,2011,q10b,1=yes 2=no 3=DK 4=Refused,"ifelse(x==1, 1L, ifelse(x==2, 0L, NA_integer_))",available,Questionnaire2011.pdf,
barrier_expensive,services too expensive,2014,q8b,1=yes 2=no 3=DK 4=Refused,"ifelse(x==1, 1L, ifelse(x==2, 0L, NA_integer_))",available,Questionnaire2014.pdf,
barrier_expensive,services too expensive,2017,fin11b,1=yes 2=no 3=DK 4=Refused,"ifelse(x==1, 1L, ifelse(x==2, 0L, NA_integer_))",available,Questionnaire2017.pdf,
barrier_expensive,services too expensive,2021,fin11b,1=yes 2=no 3=DK 4=Refused,"ifelse(x==1, 1L, ifelse(x==2, 0L, NA_integer_))",available,Questionnaire2021.pdf,
barrier_expensive,services too expensive,2024,fin11b,1=yes 2=no 3=DK 4=Refused,"ifelse(x==1, 1L, ifelse(x==2, 0L, NA_integer_))",available,Questionnaire2024.pdf,
barrier_documentation,lacks necessary documentation,2011,q10c,1=yes 2=no 3=DK 4=Refused,"ifelse(x==1, 1L, ifelse(x==2, 0L, NA_integer_))",available,Questionnaire2011.pdf,
barrier_documentation,lacks necessary documentation,2014,q8c,1=yes 2=no 3=DK 4=Refused,"ifelse(x==1, 1L, ifelse(x==2, 0L, NA_integer_))",available,Questionnaire2014.pdf,
barrier_documentation,lacks necessary documentation,2017,fin11c,1=yes 2=no 3=DK 4=Refused,"ifelse(x==1, 1L, ifelse(x==2, 0L, NA_integer_))",available,Questionnaire2017.pdf,
barrier_documentation,lacks necessary documentation,2021,fin11c,1=yes 2=no 3=DK 4=Refused,"ifelse(x==1, 1L, ifelse(x==2, 0L, NA_integer_))",available,Questionnaire2021.pdf,
barrier_documentation,lacks necessary documentation,2024,fin11c,1=yes 2=no 3=DK 4=Refused,"ifelse(x==1, 1L, ifelse(x==2, 0L, NA_integer_))",available,Questionnaire2024.pdf,
barrier_trust,does not trust financial institutions,2011,q10d,1=yes 2=no 3=DK 4=Refused,"ifelse(x==1, 1L, ifelse(x==2, 0L, NA_integer_))",available,Questionnaire2011.pdf,
barrier_trust,does not trust financial institutions,2014,q8d,1=yes 2=no 3=DK 4=Refused,"ifelse(x==1, 1L, ifelse(x==2, 0L, NA_integer_))",available,Questionnaire2014.pdf,
barrier_trust,does not trust financial institutions,2017,fin11d,1=yes 2=no 3=DK 4=Refused,"ifelse(x==1, 1L, ifelse(x==2, 0L, NA_integer_))",available,Questionnaire2017.pdf,
barrier_trust,does not trust financial institutions,2021,fin11d,1=yes 2=no 3=DK 4=Refused,"ifelse(x==1, 1L, ifelse(x==2, 0L, NA_integer_))",available,Questionnaire2021.pdf,
barrier_trust,does not trust financial institutions,2024,fin11f,1=yes 2=no 3=DK 4=Refused,"ifelse(x==1, 1L, ifelse(x==2, 0L, NA_integer_))",available,Questionnaire2024.pdf,letter position differs from other rounds
barrier_money,not enough money,2011,q10e,1=yes 2=no 3=DK 4=Refused,"ifelse(x==1, 1L, ifelse(x==2, 0L, NA_integer_))",available,Questionnaire2011.pdf,
barrier_money,not enough money,2014,q8f,1=yes 2=no 3=DK 4=Refused,"ifelse(x==1, 1L, ifelse(x==2, 0L, NA_integer_))",available,Questionnaire2014.pdf,
