"round","variable"
2011,"economy"
2011,"ecnmycode"
2011,"regionwb"
2011,"pop_adult"
2011,"wgt"
2011,"female"
2011,"age"
2011,"educ"
2011,"inc_q"
2011,"q1a"
2011,"account"
2011,"q1b"
2011,"q2"
2011,"q3a"
2011,"q3b"
2011,"q4"
2011,"q5"
2011,"q6"
2011,"q7"
2011,"q8a"
2011,"q8b"
2011,"q9a"
2011,"q9b"
2011,"q9c"
2011,"q9d"
2011,"q10a"
2011,"q10b"
2011,"q10c"
2011,"q10d"
2011,"q10e"
2011,"q10f"
2011,"q10g"
2011,"q11"
2011,"q12a"
2011,"q12b"
2011,"q13a"
2011,"q13b"
2011,"q14a"
2011,"q14b"
2011,"q14c"
2011,"q14d"
2011,"q14e"
2011,"q15a"
2011,"q16"
2011,"q17"
2011,"q18"
2011,"q15b"
2011,"q15c"
2011,"q15d"
2011,"q15e"
2011,"q15a1a"
2011,"q15a1b"
2011,"q15a1c"
2014,"economy"
2014,"economycode"
2014,"regionwb"
2014,"pop_adult"
2014,"wpid_random"
2014,"wgt"
2014,"female"
2014,"age"
2014,"educ"
2014,"inc_q"
2014,"account"
2014,"account_fin"
2014,"account_mob"
2014,"q2"
2014,"q3"
2014,"q4"
2014,"q5"
2014,"q6"
2014,"q8a"
2014,"q8b"
2014,"q8c"
2014,"q8d"
2014,"q8e"
2014,"q8f"
2014,"q8g"
2014,"q8h"
2014,"q8i"
2014,"q9"
2014,"q10"
2014,"q11"
2014,"q12"
2014,"q13"
2014,"q14"
2014,"q16"
2014,"q17a"
2014,"q17b"
2014,"q17c"
2014,"q18a"
2014,"q18b"
2014,"q20"
2014,"q21a"
2014,"q21b"
2014,"q21c"
2014,"q21d"
2014,"q22a"
2014,"q22b"
2014,"q22c"
2014,"q24"
2014,"q25"
2014,"q26"
2014,"q27a"
2014,"q27b"
2014,"q27c"
2014,"q27d"
2014,"q28"
2014,"q29a"
2014,"q29b"
2014,"q29c"
2014,"q29d"
2014,"q30"
2014,"q31a"
2014,"q31b"
2014,"q31c"
2014,"q32"
2014,"q33a"
2014,"q33b"
2014,"q33c"
2014,"q34"
2014,"q35"
2014,"q36a"
2014,"q36bc"
2014,"q36d"
2014,"q37"
2014,"q38"
2014,"q39"
2014,"q40a"
2014,"q40bc"
2014,"q40d"
2014,"q41"
2014,"q42"
2014,"q43"
2014,"q44a"
2014,"q44b"
2014,"q44c"
2014,"saved"
2014,"borrowed"
2017,"economy"
2017,"economycode"
2017,"regionwb"
2017,"pop_adult"
2017,"wpid_random"
2017,"wgt"
2017,"female"
2017,"age"
2017,"educ"
2017,"inc_q"
2017,"emp_in"
2017,"fin2"
2017,"fin3"
2017,"fin4"
2017,"fin5"
2017,"fin6"
2017,"fin7"
2017,"fin8"
2017,"fin9"
2017,"fin10"
2017,"fin11a"
2017,"fin11b"
2017,"fin11c"
2017,"fin11d"
2017,"fin11e"
2017,"fin11f"
2017,"fin11g"
2017,"fin11h"
2017,"fin14a"
2017,"fin14b"
2017,"fin14c"
2017,"fin15"
2017,"fin16"
2017,"fin17a"
2017,"fin17b"
2017,"fin19"
2017,"fin20"
2017,"fin21"
2017,"fin22a"
2017,"fin22b"
2017,"fin22c"
2017,"fin24"
2017,"fin25"
2017,"fin26"
2017,"fin27a"
2017,"fin27b"
2017,"fin27c1"
2017,"fin27c2"
2017,"fin28"
2017,"fin29a"
2017,"fin29b"
2017,"fin29c1"
2017,"fin29c2"
2017,"fin30"
2017,"fin31a"
2017,"fin31b"
2017,"fin31c"
2017,"fin32"
2017,"fin33"
2017,"fin34a"
2017,"fin34b"
2017,"fin34c1"
2017,"fin34c2"
2017,"fin35"
2017,"fin36"
2017,"fin37"
2017,"fin38"
2017,"fin39a"
2017,"fin39b"
2017,"fin39c1"
2017,"fin39c2"
2017,"fin40"
2017,"fin41"
2017,"fin42"
2017,"fin43a"
2017,"fin43b"
2017,"fin43c1"
2017,"fin43c2"
2017,"fin44"
2017,"fin45"
2017,"fin46"
2017,"fin47a"
2017,"fin47b"
2017,"fin47c1"
2017,"fin47c2"
2017,"fin47c3"
2017,"fin47c4"
2017,"fin47c5"
2017,"mobileowner"
2017,"fin48"
2017,"account_fin"
2017,"account_mob"
2017,"account"
2017,"saved"
2017,"borrowed"
2017,"receive_wages"
2017,"receive_transfers"
2017,"receive_pension"
2017,"receive_agriculture"
2017,"pay_utilities"
2017,"remittances"
2017,"pay_onlne"
2017,"pay_onlne_mobintbuy"
2017,"pay_cash"
2017,"pay_cash_mobintbuy"
2021,"economy"
2021,"economycode"
2021,"regionwb"
2021,"pop_adult"
2021,"wpid_random"
2021,"wgt"
2021,"female"
2021,"age"
2021,"educ"
2021,"inc_q"
2021,"emp_in"
2021,"urbanicity_f2f"
2021,"account"
2021,"account_fin"
2021,"account_mob"
2021,"fin1_1a"
2021,"fin1_1b"
2021,"fin2"
2021,"fin4"
2021,"fin4a"
2021,"fin5"
2021,"fin6"
2021,"fin7"
2021,"fin8"
2021,"fin8a"
2021,"fin8b"
2021,"fin9"
2021,"fin9a"
2021,"fin10"
2021,"fin10_1a"
2021,"fin10_1b"
2021,"fin10_1c"
2021,"fin10_1d"
2021,"fin10_1e"
2021,"fin10a"
2021,"fin10b"
2021,"fin11_1"
2021,"fin11a"
2021,"fin11b"
2021,"fin11c"
2021,"fin11d"
2021,"fin11e"
2021,"fin11f"
2021,"fin11g"
2021,"fin11h"
2021,"fin13_1a"
2021,"fin13_1b"
2021,"fin13_1c"
2021,"fin13_1d"
2021,"fin13_1e"
2021,"fin13_1f"
2021,"fin13a"
2021,"fin13b"
2021,"fin13c"
2021,"fin13d"
2021,"fin14_1"
2021,"fin14_2"
2021,"fin14_2_China"
2021,"fin14a"
2021,"fin14a1"
2021,"fin14b"
2021,"fin14c"
2021,"fin14c_2"
2021,"fin14c_2_China"
2021,"fin16"
2021,"fin17a"
2021,"fin17a1"
2021,"fin17b"
2021,"fin20"
2021,"fin22a"
2021,"fin22b"
2021,"fin22c"
2021,"fin24"
2021,"fin24a"
2021,"fin24b"
2021,"fin26"
2021,"fin27_1"
2021,"fin27c1"
2021,"fin27c2"
2021,"fin28"
2021,"fin29_1"
2021,"fin29c1"
2021,"fin29c2"
2021,"fin30"
2021,"fin31a"
2021,"fin31b"
2021,"fin31b1"
2021,"fin31b1_China"
2021,"fin31c"
2021,"fin32"
2021,"fin33"
2021,"fin34a"
2021,"fin34b"
2021,"fin34d"
2021,"fin34e"
2021,"fin35"
2021,"fin37"
2021,"fin38"
